capacity,weights,values
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,55
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100
400,22,47
400,16,48
400,34,26
400,56,25
400,67,122
400,40,36
400,40,36
400,22,21
400,12,54
400,54,100




















